------------------------------ CNN ------------------------------
Seed set to 42
Loading data...
Successfully load data from dataset/train.csv
Loading data...
Successfully load data from dataset/test.csv
Loading data...
Successfully load data from dataset/dev.csv
FastText loading...
FastText load successfully, total 2000000.
Start Training...
[1 / 30] 	loss: 1.4805, 	acc: 40.51%, 	use_time: 2.28s
[2 / 30] 	loss: 1.1514, 	acc: 39.33%, 	use_time: 2.22s
[3 / 30] 	loss: 0.7982, 	acc: 41.42%, 	use_time: 2.29s
[4 / 30] 	loss: 0.4257, 	acc: 38.60%, 	use_time: 2.24s
[5 / 30] 	loss: 0.1833, 	acc: 38.51%, 	use_time: 2.14s
[6 / 30] 	loss: 0.0816, 	acc: 38.87%, 	use_time: 2.26s
[7 / 30] 	loss: 0.0435, 	acc: 39.24%, 	use_time: 2.36s
[8 / 30] 	loss: 0.0250, 	acc: 38.33%, 	use_time: 2.14s
[9 / 30] 	loss: 0.0154, 	acc: 38.33%, 	use_time: 2.13s
[10 / 30] 	loss: 0.0098, 	acc: 38.60%, 	use_time: 2.20s
[11 / 30] 	loss: 0.0077, 	acc: 37.15%, 	use_time: 2.15s
[12 / 30] 	loss: 0.0060, 	acc: 37.60%, 	use_time: 2.15s
[13 / 30] 	loss: 0.0047, 	acc: 37.60%, 	use_time: 2.14s
[14 / 30] 	loss: 0.0038, 	acc: 37.33%, 	use_time: 2.17s
[15 / 30] 	loss: 0.0041, 	acc: 37.87%, 	use_time: 2.22s
[16 / 30] 	loss: 0.0028, 	acc: 37.60%, 	use_time: 2.19s
[17 / 30] 	loss: 0.0022, 	acc: 38.06%, 	use_time: 2.19s
[18 / 30] 	loss: 0.0020, 	acc: 37.24%, 	use_time: 2.19s
[19 / 30] 	loss: 0.0017, 	acc: 37.51%, 	use_time: 2.17s
[20 / 30] 	loss: 0.0013, 	acc: 38.06%, 	use_time: 2.20s
[21 / 30] 	loss: 0.0011, 	acc: 38.06%, 	use_time: 2.16s
[22 / 30] 	loss: 0.0010, 	acc: 37.78%, 	use_time: 2.16s
[23 / 30] 	loss: 0.0011, 	acc: 38.24%, 	use_time: 2.19s
[24 / 30] 	loss: 0.0009, 	acc: 37.60%, 	use_time: 2.26s
[25 / 30] 	loss: 0.0008, 	acc: 37.60%, 	use_time: 2.20s
[26 / 30] 	loss: 0.0008, 	acc: 37.33%, 	use_time: 2.20s
[27 / 30] 	loss: 0.0007, 	acc: 37.87%, 	use_time: 2.20s
[28 / 30] 	loss: 0.0007, 	acc: 36.88%, 	use_time: 2.23s
[29 / 30] 	loss: 0.0004, 	acc: 37.42%, 	use_time: 2.26s
[30 / 30] 	loss: 0.0004, 	acc: 37.51%, 	use_time: 2.19s
Finish Training. Best Accuracy: 41.42%.
Test Accuracy: 44.30%.
------------------------------ RNN ------------------------------
