Loading data...
Successfully load data from dataset/train.csv
Loading data...
Successfully load data from dataset/test.csv
Loading data...
Successfully load data from dataset/dev.csv
Start Training...
[1 / 50] 	loss: 1.5579, 	acc: 32.79%, 	use_time: 1.42s
[2 / 50] 	loss: 1.4340, 	acc: 38.69%, 	use_time: 1.33s
[3 / 50] 	loss: 1.1524, 	acc: 40.15%, 	use_time: 1.65s
[4 / 50] 	loss: 0.8282, 	acc: 38.96%, 	use_time: 2.34s
[5 / 50] 	loss: 0.5127, 	acc: 36.60%, 	use_time: 2.19s
[6 / 50] 	loss: 0.2842, 	acc: 38.15%, 	use_time: 2.19s
[7 / 50] 	loss: 0.1582, 	acc: 37.15%, 	use_time: 2.35s
[8 / 50] 	loss: 0.0928, 	acc: 36.88%, 	use_time: 2.02s
[9 / 50] 	loss: 0.0574, 	acc: 36.42%, 	use_time: 2.33s
[10 / 50] 	loss: 0.0371, 	acc: 35.79%, 	use_time: 2.02s
[11 / 50] 	loss: 0.0267, 	acc: 36.33%, 	use_time: 2.27s
[12 / 50] 	loss: 0.0200, 	acc: 36.24%, 	use_time: 1.98s
[13 / 50] 	loss: 0.0151, 	acc: 37.15%, 	use_time: 2.25s
[14 / 50] 	loss: 0.0114, 	acc: 36.97%, 	use_time: 2.13s
[15 / 50] 	loss: 0.0099, 	acc: 36.24%, 	use_time: 2.20s
[16 / 50] 	loss: 0.0077, 	acc: 35.60%, 	use_time: 2.31s
[17 / 50] 	loss: 0.0064, 	acc: 36.15%, 	use_time: 2.05s
[18 / 50] 	loss: 0.0053, 	acc: 35.51%, 	use_time: 2.29s
[19 / 50] 	loss: 0.0046, 	acc: 35.33%, 	use_time: 2.08s
[20 / 50] 	loss: 0.0040, 	acc: 35.69%, 	use_time: 2.25s
[21 / 50] 	loss: 0.0032, 	acc: 35.15%, 	use_time: 2.08s
[22 / 50] 	loss: 0.0029, 	acc: 35.33%, 	use_time: 2.31s
[23 / 50] 	loss: 0.0026, 	acc: 34.70%, 	use_time: 2.39s
[24 / 50] 	loss: 0.0021, 	acc: 35.06%, 	use_time: 1.99s
[25 / 50] 	loss: 0.0021, 	acc: 35.51%, 	use_time: 2.29s
[26 / 50] 	loss: 0.0019, 	acc: 35.15%, 	use_time: 2.03s
[27 / 50] 	loss: 0.0017, 	acc: 34.79%, 	use_time: 2.38s
[28 / 50] 	loss: 0.0015, 	acc: 34.97%, 	use_time: 2.16s
[29 / 50] 	loss: 0.0013, 	acc: 34.60%, 	use_time: 2.19s
[30 / 50] 	loss: 0.0012, 	acc: 34.88%, 	use_time: 2.36s
[31 / 50] 	loss: 0.0011, 	acc: 34.60%, 	use_time: 2.27s
[32 / 50] 	loss: 0.0009, 	acc: 35.24%, 	use_time: 2.32s
[33 / 50] 	loss: 0.0009, 	acc: 34.79%, 	use_time: 2.25s
[34 / 50] 	loss: 0.0009, 	acc: 35.42%, 	use_time: 2.19s
[35 / 50] 	loss: 0.0008, 	acc: 35.06%, 	use_time: 3.81s
[36 / 50] 	loss: 0.0007, 	acc: 35.15%, 	use_time: 4.19s
[37 / 50] 	loss: 0.0006, 	acc: 34.60%, 	use_time: 4.25s
[38 / 50] 	loss: 0.0006, 	acc: 34.70%, 	use_time: 4.16s
[39 / 50] 	loss: 0.0005, 	acc: 34.79%, 	use_time: 4.21s
[40 / 50] 	loss: 0.0005, 	acc: 34.06%, 	use_time: 4.28s
[41 / 50] 	loss: 0.0004, 	acc: 34.79%, 	use_time: 4.20s
[42 / 50] 	loss: 0.0004, 	acc: 34.42%, 	use_time: 4.25s
[43 / 50] 	loss: 0.0003, 	acc: 34.24%, 	use_time: 4.26s
[44 / 50] 	loss: 0.0004, 	acc: 33.79%, 	use_time: 4.17s
[45 / 50] 	loss: 0.0004, 	acc: 34.97%, 	use_time: 4.30s
[46 / 50] 	loss: 0.0003, 	acc: 34.70%, 	use_time: 4.16s
[47 / 50] 	loss: 0.0003, 	acc: 34.70%, 	use_time: 4.21s
[48 / 50] 	loss: 0.0003, 	acc: 34.33%, 	use_time: 4.24s
[49 / 50] 	loss: 0.0002, 	acc: 34.79%, 	use_time: 3.73s
[50 / 50] 	loss: 0.0002, 	acc: 34.06%, 	use_time: 3.89s
Finish Training. Best Accuracy: 40.15%.
Test Accuracy: 43.57%.
